global_step=28800, episodic_return=[-1099.1156]
global_step=29000, episodic_return=[-1087.5251]
global_step=29200, episodic_return=[-1004.7553]
global_step=29400, episodic_return=[-1546.8483]
global_step=29600, episodic_return=[-1039.1204]
global_step=29800, episodic_return=[-1070.9105]
global_step=30000, episodic_return=[-1502.1077]
global_step=30200, episodic_return=[-1014.1872]
global_step=30400, episodic_return=[-1067.2174]
global_step=30600, episodic_return=[-1046.5514]
SPS: 245
global_step=30800, episodic_return=[-1411.1256]
global_step=31000, episodic_return=[-1215.8356]
global_step=31200, episodic_return=[-1176.9929]
global_step=31400, episodic_return=[-1060.143]
global_step=31600, episodic_return=[-1053.7776]
global_step=31800, episodic_return=[-1032.335]
global_step=32000, episodic_return=[-1405.3844]
global_step=32200, episodic_return=[-1074.157]
global_step=32400, episodic_return=[-1438.196]
global_step=32600, episodic_return=[-790.965]
SPS: 246
global_step=32800, episodic_return=[-1055.2957]
global_step=33000, episodic_return=[-1518.1903]
global_step=33200, episodic_return=[-1003.97595]
global_step=33400, episodic_return=[-987.934]
global_step=33600, episodic_return=[-1074.6967]
global_step=33800, episodic_return=[-1112.1279]
global_step=34000, episodic_return=[-1115.5647]
global_step=34200, episodic_return=[-1104.427]
global_step=34400, episodic_return=[-1108.0786]
global_step=34600, episodic_return=[-931.71954]
global_step=34800, episodic_return=[-907.6853]
SPS: 246
global_step=35000, episodic_return=[-1019.72504]
global_step=35200, episodic_return=[-1005.7819]
global_step=35400, episodic_return=[-875.2047]
global_step=35600, episodic_return=[-1259.262]
global_step=35800, episodic_return=[-1093.2316]
global_step=36000, episodic_return=[-1052.968]
global_step=36200, episodic_return=[-1179.8164]
global_step=36400, episodic_return=[-986.1154]
global_step=36600, episodic_return=[-1310.4086]
global_step=36800, episodic_return=[-1180.0459]
SPS: 247
global_step=37000, episodic_return=[-1039.3444]
global_step=37200, episodic_return=[-908.2559]
global_step=37400, episodic_return=[-1088.4814]
global_step=37600, episodic_return=[-895.7573]
global_step=37800, episodic_return=[-1225.5879]
global_step=38000, episodic_return=[-1036.7019]
global_step=38200, episodic_return=[-1054.2092]
global_step=38400, episodic_return=[-1089.2264]
global_step=38600, episodic_return=[-1107.3165]
global_step=38800, episodic_return=[-934.3452]
SPS: 248
global_step=39000, episodic_return=[-994.3984]
global_step=39200, episodic_return=[-1056.6327]
global_step=39400, episodic_return=[-907.2969]
global_step=39600, episodic_return=[-1052.0504]
global_step=39800, episodic_return=[-1123.336]
global_step=40000, episodic_return=[-1057.6594]
global_step=40200, episodic_return=[-1295.4779]
global_step=40400, episodic_return=[-886.47925]
global_step=40600, episodic_return=[-1009.1214]
global_step=40800, episodic_return=[-909.39703]
SPS: 249
global_step=41000, episodic_return=[-1050.1725]
global_step=41200, episodic_return=[-1333.7505]
global_step=41400, episodic_return=[-1053.3848]
global_step=41600, episodic_return=[-1292.3567]
global_step=41800, episodic_return=[-1593.8215]
global_step=42000, episodic_return=[-1318.6946]
global_step=42200, episodic_return=[-982.21454]
global_step=42400, episodic_return=[-891.9098]
global_step=42600, episodic_return=[-918.86957]
global_step=42800, episodic_return=[-1003.4326]
global_step=43000, episodic_return=[-1035.3956]
SPS: 249
global_step=43200, episodic_return=[-1019.8234]
global_step=43400, episodic_return=[-903.8408]
global_step=43600, episodic_return=[-1093.141]
global_step=43800, episodic_return=[-1159.8961]
global_step=44000, episodic_return=[-1416.8394]
global_step=44200, episodic_return=[-1446.0293]
global_step=44400, episodic_return=[-1028.9218]
global_step=44600, episodic_return=[-997.23096]
global_step=44800, episodic_return=[-775.5231]
global_step=45000, episodic_return=[-1216.9227]
SPS: 250
global_step=45200, episodic_return=[-1228.1113]
global_step=45400, episodic_return=[-1080.8944]
global_step=45600, episodic_return=[-882.2223]
global_step=45800, episodic_return=[-1021.7025]
global_step=46000, episodic_return=[-1485.7834]
global_step=46200, episodic_return=[-996.8397]
global_step=46400, episodic_return=[-1018.1372]
global_step=46600, episodic_return=[-1027.4475]
global_step=46800, episodic_return=[-1471.9221]
global_step=47000, episodic_return=[-1005.9455]
SPS: 250
global_step=47200, episodic_return=[-1090.0986]
global_step=47400, episodic_return=[-1029.5406]
global_step=47600, episodic_return=[-1073.7343]
global_step=47800, episodic_return=[-1210.7035]
global_step=48000, episodic_return=[-1041.132]
global_step=48200, episodic_return=[-1303.1508]
global_step=48400, episodic_return=[-995.209]
global_step=48600, episodic_return=[-879.8409]
global_step=48800, episodic_return=[-1383.6877]
global_step=49000, episodic_return=[-1015.99756]
SPS: 250
global_step=49200, episodic_return=[-1066.8141]
global_step=49400, episodic_return=[-1129.5485]
global_step=49600, episodic_return=[-1135.2776]
global_step=49800, episodic_return=[-1348.3615]
global_step=50000, episodic_return=[-1138.833]
global_step=50200, episodic_return=[-910.0757]
global_step=50400, episodic_return=[-995.2921]
global_step=50600, episodic_return=[-1126.5665]
global_step=50800, episodic_return=[-1001.2348]
global_step=51000, episodic_return=[-1118.4092]
global_step=51200, episodic_return=[-1049.9279]
SPS: 251
global_step=51400, episodic_return=[-882.51324]
global_step=51600, episodic_return=[-920.3303]
global_step=51800, episodic_return=[-1360.49]
global_step=52000, episodic_return=[-1033.438]
global_step=52200, episodic_return=[-1058.928]
global_step=52400, episodic_return=[-1189.3805]
global_step=52600, episodic_return=[-1010.1242]
global_step=52800, episodic_return=[-883.0497]
global_step=53000, episodic_return=[-895.3647]
global_step=53200, episodic_return=[-1103.6721]
SPS: 251
global_step=53400, episodic_return=[-1018.055]
global_step=53600, episodic_return=[-1052.1091]
global_step=53800, episodic_return=[-1608.376]
global_step=54000, episodic_return=[-1459.229]
global_step=54200, episodic_return=[-1320.8254]
global_step=54400, episodic_return=[-920.2871]
global_step=54600, episodic_return=[-1028.8359]
global_step=54800, episodic_return=[-991.6565]
global_step=55000, episodic_return=[-982.3457]
global_step=55200, episodic_return=[-1204.301]
SPS: 251
global_step=55400, episodic_return=[-1023.70624]
global_step=55600, episodic_return=[-1102.2196]
global_step=55800, episodic_return=[-1014.83887]
global_step=56000, episodic_return=[-1282.8262]
global_step=56200, episodic_return=[-1374.8021]
global_step=56400, episodic_return=[-1191.0836]
global_step=56600, episodic_return=[-998.2467]
global_step=56800, episodic_return=[-1052.1211]
global_step=57000, episodic_return=[-1077.2314]
global_step=57200, episodic_return=[-988.7356]
SPS: 251
global_step=57400, episodic_return=[-1043.8181]
global_step=57600, episodic_return=[-1285.3137]
global_step=57800, episodic_return=[-907.97363]
global_step=58000, episodic_return=[-1061.4644]
global_step=58200, episodic_return=[-903.42]
global_step=58400, episodic_return=[-997.1521]
global_step=58600, episodic_return=[-1040.8245]
global_step=58800, episodic_return=[-871.0623]
global_step=59000, episodic_return=[-1225.1785]
global_step=59200, episodic_return=[-1725.9238]
SPS: 252
global_step=59400, episodic_return=[-908.56934]
global_step=59600, episodic_return=[-1119.0016]
global_step=59800, episodic_return=[-1010.18756]
global_step=60000, episodic_return=[-901.27594]
global_step=60200, episodic_return=[-1010.5829]
global_step=60400, episodic_return=[-1094.3796]
global_step=60600, episodic_return=[-978.1988]
global_step=60800, episodic_return=[-1073.2756]
global_step=61000, episodic_return=[-915.7271]
global_step=61200, episodic_return=[-1043.0428]
global_step=61400, episodic_return=[-1302.999]
SPS: 252
global_step=61600, episodic_return=[-1414.0319]
global_step=61800, episodic_return=[-1059.48]
global_step=62000, episodic_return=[-1242.4153]
global_step=62200, episodic_return=[-1111.029]
global_step=62400, episodic_return=[-1488.5354]
global_step=62600, episodic_return=[-1141.1033]
global_step=62800, episodic_return=[-962.9566]
global_step=63000, episodic_return=[-1039.3593]
global_step=63200, episodic_return=[-1003.68506]
global_step=63400, episodic_return=[-899.3368]
SPS: 252
global_step=63600, episodic_return=[-1047.718]
global_step=63800, episodic_return=[-1011.2584]
global_step=64000, episodic_return=[-1231.374]
global_step=64200, episodic_return=[-1120.6178]
global_step=64400, episodic_return=[-1206.7211]
global_step=64600, episodic_return=[-1117.7344]
global_step=64800, episodic_return=[-1320.2765]
global_step=65000, episodic_return=[-1143.5428]
global_step=65200, episodic_return=[-1495.4971]
global_step=65400, episodic_return=[-1130.8486]
SPS: 253
global_step=65600, episodic_return=[-930.94073]
global_step=65800, episodic_return=[-1169.7751]
global_step=66000, episodic_return=[-1154.4545]
global_step=66200, episodic_return=[-1019.8144]
global_step=66400, episodic_return=[-1362.4032]
global_step=66600, episodic_return=[-1093.1797]
global_step=66800, episodic_return=[-1061.9165]
global_step=67000, episodic_return=[-1358.5531]
global_step=67200, episodic_return=[-1137.3682]
global_step=67400, episodic_return=[-1145.9823]
SPS: 253
global_step=67600, episodic_return=[-1047.9452]
global_step=67800, episodic_return=[-1209.9243]
global_step=68000, episodic_return=[-926.11694]
global_step=68200, episodic_return=[-1093.1604]
global_step=68400, episodic_return=[-946.96405]
global_step=68600, episodic_return=[-1044.6067]
global_step=68800, episodic_return=[-997.8567]
global_step=69000, episodic_return=[-1120.2612]
global_step=69200, episodic_return=[-1029.3184]
global_step=69400, episodic_return=[-1168.182]
global_step=69600, episodic_return=[-1112.8784]
SPS: 253
global_step=69800, episodic_return=[-1101.7073]
global_step=70000, episodic_return=[-1031.076]
global_step=70200, episodic_return=[-1287.7926]
global_step=70400, episodic_return=[-1009.52075]
global_step=70600, episodic_return=[-1244.039]
global_step=70800, episodic_return=[-1245.6703]
global_step=71000, episodic_return=[-1062.4554]
global_step=71200, episodic_return=[-986.5087]
global_step=71400, episodic_return=[-1141.0282]
global_step=71600, episodic_return=[-1043.277]
SPS: 253
global_step=71800, episodic_return=[-1118.5205]
global_step=72000, episodic_return=[-998.3353]
global_step=72200, episodic_return=[-918.3519]
global_step=72400, episodic_return=[-1215.0969]
global_step=72600, episodic_return=[-1066.9329]
global_step=72800, episodic_return=[-1234.5446]
global_step=73000, episodic_return=[-1019.2457]
global_step=73200, episodic_return=[-1013.0485]
global_step=73400, episodic_return=[-1137.5852]
global_step=73600, episodic_return=[-1031.7418]
SPS: 253
global_step=73800, episodic_return=[-957.6886]
global_step=74000, episodic_return=[-1063.5668]
global_step=74200, episodic_return=[-1144.2817]
global_step=74400, episodic_return=[-1006.02356]
global_step=74600, episodic_return=[-1157.7938]
global_step=74800, episodic_return=[-1149.6434]
global_step=75000, episodic_return=[-1177.4952]
global_step=75200, episodic_return=[-1052.5275]
global_step=75400, episodic_return=[-1147.2185]
global_step=75600, episodic_return=[-1269.3097]
SPS: 253
global_step=75800, episodic_return=[-1126.1174]
global_step=76000, episodic_return=[-1052.5737]
global_step=76200, episodic_return=[-1025.5819]
global_step=76400, episodic_return=[-1038.0499]
global_step=76600, episodic_return=[-1233.5209]
global_step=76800, episodic_return=[-1423.9572]
global_step=77000, episodic_return=[-1139.9155]
global_step=77200, episodic_return=[-1108.6064]
global_step=77400, episodic_return=[-1116.5656]
global_step=77600, episodic_return=[-1256.7688]
global_step=77800, episodic_return=[-1228.2335]
SPS: 254
global_step=78000, episodic_return=[-1064.7805]
global_step=78200, episodic_return=[-1050.0092]
global_step=78400, episodic_return=[-1148.0244]
global_step=78600, episodic_return=[-1041.6752]
global_step=78800, episodic_return=[-1036.3665]
global_step=79000, episodic_return=[-1047.8453]
