global_step=28200, episodic_return: -949.4592895507812
global_step=28400, episodic_return: -891.6473388671875
global_step=28600, episodic_return: -1700.6614990234375
SPS: 132
global_step=28800, episodic_return: -994.5558471679688
global_step=29000, episodic_return: -1001.5968627929688
global_step=29200, episodic_return: -1027.32080078125
global_step=29400, episodic_return: -1450.8529052734375
global_step=29600, episodic_return: -1021.0783081054688
global_step=29800, episodic_return: -830.2947387695312
global_step=30000, episodic_return: -1400.7222900390625
global_step=30200, episodic_return: -956.4636840820312
global_step=30400, episodic_return: -903.5147094726562
global_step=30600, episodic_return: -916.54248046875
SPS: 129
global_step=30800, episodic_return: -1358.7218017578125
global_step=31000, episodic_return: -1195.552490234375
global_step=31200, episodic_return: -1050.5167236328125
global_step=31400, episodic_return: -898.8366088867188
global_step=31600, episodic_return: -1052.635009765625
global_step=31800, episodic_return: -980.0274047851562
global_step=32000, episodic_return: -1385.9190673828125
global_step=32200, episodic_return: -1174.3876953125
global_step=32400, episodic_return: -1424.5687255859375
global_step=32600, episodic_return: -804.2672729492188
SPS: 127
global_step=32800, episodic_return: -894.49853515625
global_step=33000, episodic_return: -1468.6728515625
global_step=33200, episodic_return: -1025.8226318359375
global_step=33400, episodic_return: -1075.4454345703125
global_step=33600, episodic_return: -905.7073974609375
global_step=33800, episodic_return: -863.1741333007812
global_step=34000, episodic_return: -1087.012939453125
global_step=34200, episodic_return: -1071.76904296875
global_step=34400, episodic_return: -1090.007568359375
global_step=34600, episodic_return: -934.95849609375
global_step=34800, episodic_return: -1032.029541015625
SPS: 125
global_step=35000, episodic_return: -865.3612060546875
global_step=35200, episodic_return: -850.5975952148438
global_step=35400, episodic_return: -779.908935546875
global_step=35600, episodic_return: -1194.61572265625
global_step=35800, episodic_return: -905.3357543945312
global_step=36000, episodic_return: -909.9529418945312
global_step=36200, episodic_return: -1178.2095947265625
global_step=36400, episodic_return: -914.15673828125
global_step=36600, episodic_return: -1295.1256103515625
global_step=36800, episodic_return: -1174.318603515625
SPS: 123
global_step=37000, episodic_return: -911.8369750976562
global_step=37200, episodic_return: -894.7030639648438
global_step=37400, episodic_return: -1093.7908935546875
global_step=37600, episodic_return: -744.849609375
global_step=37800, episodic_return: -1236.492431640625
global_step=38000, episodic_return: -876.6099853515625
global_step=38200, episodic_return: -929.8095092773438
global_step=38400, episodic_return: -1059.9805908203125
global_step=38600, episodic_return: -978.7706298828125
global_step=38800, episodic_return: -1035.4688720703125
SPS: 122
global_step=39000, episodic_return: -999.687255859375
global_step=39200, episodic_return: -909.2510375976562
global_step=39400, episodic_return: -859.704345703125
global_step=39600, episodic_return: -900.5274047851562
global_step=39800, episodic_return: -1065.3812255859375
global_step=40000, episodic_return: -1021.2182006835938
global_step=40200, episodic_return: -1172.833251953125
global_step=40400, episodic_return: -899.7940063476562
global_step=40600, episodic_return: -1007.2552490234375
global_step=40800, episodic_return: -754.1956787109375
SPS: 120
global_step=41000, episodic_return: -1050.0782470703125
global_step=41200, episodic_return: -1248.734619140625
global_step=41400, episodic_return: -857.2034301757812
global_step=41600, episodic_return: -1190.46630859375
global_step=41800, episodic_return: -1465.103515625
global_step=42000, episodic_return: -1201.423828125
global_step=42200, episodic_return: -764.1981811523438
global_step=42400, episodic_return: -828.9925537109375
global_step=42600, episodic_return: -899.4794921875
global_step=42800, episodic_return: -856.945068359375
global_step=43000, episodic_return: -914.0121459960938
SPS: 119
global_step=43200, episodic_return: -768.6918334960938
global_step=43400, episodic_return: -831.4247436523438
global_step=43600, episodic_return: -912.090087890625
global_step=43800, episodic_return: -1035.1888427734375
global_step=44000, episodic_return: -1191.454833984375
global_step=44200, episodic_return: -1221.2266845703125
global_step=44400, episodic_return: -904.1243896484375
global_step=44600, episodic_return: -956.3570556640625
global_step=44800, episodic_return: -1027.1187744140625
global_step=45000, episodic_return: -989.0250244140625
SPS: 118
global_step=45200, episodic_return: -1137.6585693359375
