
global_step=28200, episodic_return: -892.2788696289062
global_step=28400, episodic_return: -1118.1553955078125
global_step=28600, episodic_return: -1790.5999755859375
SPS: 59
global_step=28800, episodic_return: -1179.2265625
global_step=29000, episodic_return: -907.1463012695312
global_step=29200, episodic_return: -1365.267333984375
global_step=29400, episodic_return: -1706.5850830078125
global_step=29600, episodic_return: -886.4844360351562
global_step=29800, episodic_return: -1123.0224609375
global_step=30000, episodic_return: -1700.5819091796875
global_step=30200, episodic_return: -1229.3046875
global_step=30400, episodic_return: -993.391845703125
global_step=30600, episodic_return: -1025.969482421875
SPS: 59
global_step=30800, episodic_return: -1643.4373779296875
global_step=31000, episodic_return: -1531.7427978515625
global_step=31200, episodic_return: -892.0927734375
global_step=31400, episodic_return: -794.9222412109375
global_step=31600, episodic_return: -963.1395263671875
global_step=31800, episodic_return: -1000.0421142578125
global_step=32000, episodic_return: -1543.83837890625
global_step=32200, episodic_return: -1420.532958984375
global_step=32400, episodic_return: -1586.862060546875
global_step=32600, episodic_return: -989.6846313476562
SPS: 59
global_step=32800, episodic_return: -1090.64501953125
global_step=33000, episodic_return: -1701.2081298828125
global_step=33200, episodic_return: -1109.8668212890625
global_step=33400, episodic_return: -1234.7271728515625
global_step=33600, episodic_return: -1175.11767578125
global_step=33800, episodic_return: -978.8837890625
global_step=34000, episodic_return: -1189.689208984375
global_step=34200, episodic_return: -1296.003662109375
global_step=34400, episodic_return: -1436.55615234375
global_step=34600, episodic_return: -909.866943359375
global_step=34800, episodic_return: -1058.3447265625
SPS: 59
global_step=35000, episodic_return: -1087.78662109375
global_step=35200, episodic_return: -1152.635986328125
global_step=35400, episodic_return: -770.02294921875
global_step=35600, episodic_return: -1455.0458984375
global_step=35800, episodic_return: -896.5201416015625
global_step=36000, episodic_return: -863.645263671875
global_step=36200, episodic_return: -1370.0135498046875
global_step=36400, episodic_return: -1068.665283203125
global_step=36600, episodic_return: -1464.9622802734375
global_step=36800, episodic_return: -1446.6002197265625
SPS: 59
global_step=37000, episodic_return: -913.8553466796875
global_step=37200, episodic_return: -968.1432495117188
global_step=37400, episodic_return: -1222.755126953125
global_step=37600, episodic_return: -868.823974609375
global_step=37800, episodic_return: -1540.0089111328125
global_step=38000, episodic_return: -881.7362060546875
global_step=38200, episodic_return: -904.005615234375
global_step=38400, episodic_return: -1270.264404296875
global_step=38600, episodic_return: -1182.1697998046875
global_step=38800, episodic_return: -886.3235473632812
SPS: 59
global_step=39000, episodic_return: -1148.767822265625
global_step=39200, episodic_return: -824.2991943359375
global_step=39400, episodic_return: -884.6314697265625
global_step=39600, episodic_return: -862.7313232421875
global_step=39800, episodic_return: -1178.581298828125
global_step=40000, episodic_return: -1119.163818359375
global_step=40200, episodic_return: -1517.6068115234375
global_step=40400, episodic_return: -1066.213134765625
global_step=40600, episodic_return: -855.0029907226562
global_step=40800, episodic_return: -1081.0103759765625
SPS: 59
global_step=41000, episodic_return: -904.0614013671875
global_step=41200, episodic_return: -1512.7911376953125
global_step=41400, episodic_return: -924.2594604492188
global_step=41600, episodic_return: -1463.973876953125
global_step=41800, episodic_return: -1733.1728515625
global_step=42000, episodic_return: -1487.9300537109375
global_step=42200, episodic_return: -1002.1849975585938
global_step=42400, episodic_return: -987.2700805664062
global_step=42600, episodic_return: -1162.908203125
global_step=42800, episodic_return: -1073.041015625
global_step=43000, episodic_return: -768.792236328125
SPS: 59
global_step=43200, episodic_return: -1059.9652099609375
global_step=43400, episodic_return: -896.6644897460938
global_step=43600, episodic_return: -778.8985595703125
global_step=43800, episodic_return: -1318.552490234375
global_step=44000, episodic_return: -1518.3741455078125
global_step=44200, episodic_return: -1649.548828125
global_step=44400, episodic_return: -1034.849609375
global_step=44600, episodic_return: -1100.3421630859375
global_step=44800, episodic_return: -896.286865234375
global_step=45000, episodic_return: -1339.2689208984375
SPS: 59
global_step=45200, episodic_return: -1395.2261962890625
global_step=45400, episodic_return: -1098.5960693359375
global_step=45600, episodic_return: -1075.9578857421875
global_step=45800, episodic_return: -985.3070068359375
global_step=46000, episodic_return: -1657.8421630859375
global_step=46200, episodic_return: -1071.1055908203125
global_step=46400, episodic_return: -925.952392578125
global_step=46600, episodic_return: -1163.207275390625
global_step=46800, episodic_return: -1660.735595703125
global_step=47000, episodic_return: -981.8963012695312
SPS: 59
global_step=47200, episodic_return: -1176.349853515625
global_step=47400, episodic_return: -1012.5942993164062
global_step=47600, episodic_return: -1281.73876953125
global_step=47800, episodic_return: -1538.7857666015625
global_step=48000, episodic_return: -920.89208984375
global_step=48200, episodic_return: -1457.3275146484375
global_step=48400, episodic_return: -927.8428344726562
global_step=48600, episodic_return: -877.0044555664062
global_step=48800, episodic_return: -1486.6385498046875
global_step=49000, episodic_return: -1148.5321044921875
SPS: 59
global_step=49200, episodic_return: -972.7915649414062
global_step=49400, episodic_return: -1053.888427734375
global_step=49600, episodic_return: -1298.7989501953125
global_step=49800, episodic_return: -1546.216064453125
global_step=50000, episodic_return: -1239.105224609375
global_step=50200, episodic_return: -964.3751831054688
global_step=50400, episodic_return: -1190.56640625
global_step=50600, episodic_return: -1420.728271484375
global_step=50800, episodic_return: -1167.500732421875
global_step=51000, episodic_return: -896.7703857421875
global_step=51200, episodic_return: -884.727294921875
SPS: 59
global_step=51400, episodic_return: -1057.6339111328125
global_step=51600, episodic_return: -1024.3814697265625
global_step=51800, episodic_return: -1532.822509765625
global_step=52000, episodic_return: -932.4603881835938
global_step=52200, episodic_return: -1075.153564453125
global_step=52400, episodic_return: -1298.0517578125
global_step=52600, episodic_return: -1071.4344482421875
global_step=52800, episodic_return: -931.2440185546875
global_step=53000, episodic_return: -977.7372436523438
global_step=53200, episodic_return: -1089.5152587890625
SPS: 59
global_step=53400, episodic_return: -971.3511962890625
global_step=53600, episodic_return: -1034.90478515625
global_step=53800, episodic_return: -1736.300537109375
global_step=54000, episodic_return: -1650.0244140625
global_step=54200, episodic_return: -1577.4686279296875
global_step=54400, episodic_return: -1185.2430419921875
global_step=54600, episodic_return: -998.0509643554688
global_step=54800, episodic_return: -960.03515625
global_step=55000, episodic_return: -1067.3756103515625
